MAX_TEMP,MIN_TEMP,RAINFALL_CH,SOLAR_EXPOSURE,DATE_READING,NO_OF_CAPTURE,Year,Month,Day,Period over which rainfall was measured (days),Fort Hill Rainfall Amount,tide_range,tide_max,tide_min,COMMON_NAME,DATE_CAPTURED,DESCRIPTION,GROUP_NAME,ID,LATITUDE,LOCATION,LONGITUDE,NOTES,SCIENTIFIC_NAME,SEX,TAXONID,TOTAL_LENGTH,TRAP_NUMBER,_clipped,1_TOTAL_LENGTH,2_TOTAL_LENGTH,3_TOTAL_LENGTH,4_TOTAL_LENGTH,5_TOTAL_LENGTH,6_TOTAL_LENGTH,7_TOTAL_LENGTH,8_TOTAL_LENGTH,9_TOTAL_LENGTH,10_TOTAL_LENGTH,11_TOTAL_LENGTH,12_TOTAL_LENGTH,13_TOTAL_LENGTH,14_TOTAL_LENGTH,15_TOTAL_LENGTH,16_TOTAL_LENGTH,17_TOTAL_LENGTH,18_TOTAL_LENGTH,19_TOTAL_LENGTH,36_TOTAL_LENGTH,37_TOTAL_LENGTH,39_TOTAL_LENGTH,43_TOTAL_LENGTH,46_TOTAL_LENGTH,47_TOTAL_LENGTH,48_TOTAL_LENGTH,52_TOTAL_LENGTH,53_TOTAL_LENGTH,54_TOTAL_LENGTH,55_TOTAL_LENGTH,56_TOTAL_LENGTH
34.2,20.4,0,24.8,20070831,2,2007,8,31,,,2.4361751100582127,5.099799053605448,2.6636239435472353,Saltwater Crocodile,20070831,Trap,Northern Suburb,2279,-12.348613,Micket Creek,130.944383,,C. porosus,M,9725,0,16,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,190,0,0,0,0,0,0,0,0,0,0,0,0,0
34.9,25.7,10.7,23.9,20111125,3,2011,11,25,1,0,4.4818220220852165,6.4381377899762136,1.9563157678909966,Saltwater Crocodile,20111125,Trap,Hope Inlet,4195,-12.3479,Little Howard River,131.05011,4000 scute not cut as it was split and incomplete already. ,C. porosus,F,9725,0,36,no,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,339,0,198,0,0,0,0,0,0,0,0,0,0,0
36.9,19.2,0,25.6,20170916,0,2017,9,16,,0,6.730289949697406,7.568561427555769,0.8382714778583638,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.5,25.9,0,17,20161203,0,2016,12,3,,0,3.3487374324273183,5.8517818317318735,2.5030443993045552,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.2,23.8,19.5,26.1,20101208,1,2010,12,8,,,3.607475393407145,5.8627076335804675,2.2552322401733225,Saltwater Crocodile,20101208,Trap,Middle Arm,3481,-12.553961,Jones Creek,130.88519,,C. porosus,F,9725,0,10,no,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.6,22.8,14.3,3.6,20080212,0,2008,2,12,1,17,3.91415626393875,6.199367470943288,2.2852112070045383,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.9,23.4,0,19.6,20160617,0,2016,6,17,,0,5.450865334949551,6.962900302682554,1.5120349677330025,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.8,21.8,0,9.4,20190131,0,2019,1,31,1,48,7.555345212785914,7.998420549883175,0.44307533709726066,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.9,24.1,26.2,10,20070128,0,2007,1,28,,,7.324031663599504,7.893520863012364,0.5694891994128604,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.4,21.5,0,27.3,20061010,0,2006,10,10,,0,2.8902259354049367,5.6642484331146985,2.774022497709762,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.4,20.6,0,26.1,20060917,0,2006,9,17,,0,7.444071582525769,7.856118848264792,0.4120472657390235,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.6,26.5,9.4,24.5,20151121,1,2015,11,21,,0,6.866148444055382,7.515763222790667,0.6496147787352857,Saltwater Crocodile,20151121,Trap,Berry Creek,13556,-12.697337,Berry Trap 2,130.993992,"Died overnight, not sold to farm.",C. porosus,F,9725,0,47,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0
32.8,22.2,0,19.9,20100629,0,2010,6,29,,,3.4562052251829343,5.524571158414791,2.068365933231857,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.5,18.9,0,23.6,20060726,0,2006,7,26,,0,4.121909488604716,6.007464935071041,1.8855554464663244,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.6,23.8,0,16.3,20060318,0,2006,3,18,1,18.5,2.5243019798555837,5.618056427759638,3.093754447904054,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,24.5,0,18.9,20100701,0,2010,7,1,,,4.204142782316042,5.938720869542741,1.7345780872266992,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.8,22.5,0,23.8,20100825,0,2010,8,25,,,3.574447543778678,5.703943629968034,2.129496086189356,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.4,23.5,38,11.8,20150116,2,2015,1,16,1,23,6.197861120144113,7.410425275794103,1.2125641556499902,Saltwater Crocodile,20150116,Trap,Hope Inlet,11657,-12.373801,Kings Creek,131.018415,,C. porosus,M,9725,0,17,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,224,0,0,0,0,0,0,0,0,0,0,0,0
31.6,18,0,24.3,20110820,0,2011,8,20,,,4.9483577257678695,6.586913962773007,1.6385562370051376,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.5,25,3.8,20.6,20160505,2,2016,5,5,1,8,5.2938287422390555,6.8092369593586355,1.5154082171195804,Saltwater Crocodile,20160505,Trap,Hope Inlet,14635,-12.324761,Near Tree Point,131.044948,,C. porosus,M,9725,0,19,no,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0
30,22.8,90.1,17.3,20080220,0,2008,2,20,1,139.5,5.752690793842447,7.086735463924966,1.3340446700825184,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.2,23.7,24.6,22.5,20130325,0,2013,3,25,,,4.79136649871298,6.622119498728614,1.830753000015633,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.2,27.2,1.9,15.4,20080207,0,2008,2,7,,,3.6104087039868693,6.086792628464146,2.4763839244772763,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.1,24.2,0,26,20140327,0,2014,3,27,,0,6.641810379991764,7.51826196862636,0.8764515886345965,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.3,16.2,0,24.5,20150819,0,2015,8,19,,0,3.8494563454427007,5.935310370581531,2.0858540251388304,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,23,0,20.9,20160830,0,2016,8,30,,0,6.488653191367524,7.387788270311608,0.899135078944084,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.5,24.4,4,27.6,20170214,0,2017,2,14,4,145,3.218043538159134,5.496043896737591,2.278000358578457,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.1,24.7,5.3,10.5,20060123,0,2006,1,23,1,13,5.945280008820216,7.239810280291138,1.2945302714709217,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.7,24.7,0,24.7,20180322,2,2018,3,22,,0,3.6783277540344614,6.217240936159959,2.5389131821254973,Saltwater Crocodile,20180322,Trap,Hope Inlet,19595,-12.384554,Howard River,131.046759,"
Drugs @
0830 hours ",C. porosus,M,9725,0,18,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,383,0,0,0,0,0,0,0,0,0,0,0,0,0
33.9,21.2,0,26.2,20070920,0,2007,9,20,,0,5.790558401577876,7.06960964197874,1.279051240400865,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.3,26.2,0,22.7,20161117,1,2016,11,17,,0,2.97267863959041,5.816090807841206,2.8434121682507962,Saltwater Crocodile,20161117,Trap,Berry Creek,15635,-12.67583,Berry Creek 2,130.96725,,C. porosus,M,9725,0,52,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,0
31.8,24.8,2.6,8.8,20101016,0,2010,10,16,,,7.2318148004437734,7.67090905911498,0.43909425867120744,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.6,23.4,285.4,16.4,20110217,0,2011,2,17,1,297,4.855265108771599,6.741973413460041,1.8867083046884416,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.5,26.2,0,21.9,20131126,0,2013,11,26,,0,6.1780474959042255,7.137539606903104,0.9594921109988781,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.4,23,16,18.2,20070222,1,2007,2,22,1,5,3.551991644830516,5.96449991235113,2.4125082675206135,Saltwater Crocodile,20070222,Trap,Southport,2163,-12.718489,SouthPort,130.944861,,C. porosus,F,9725,0,4,no,0,0,0,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.3,20,0,20.5,20200604,1,2020,6,4,,,5.431101042791266,6.823783405700199,1.3926823629089338,Saltwater Crocodile,20200604,Trap,Hope Inlet,24742,-12.3479,Little Howard River,131.05011,,C. porosus,F,9725,0,36,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,0,0,0,0,0,0,0,0,0,0,0
33.4,24.1,0,26.7,20141027,0,2014,10,27,,0,2.6758670923514254,5.767000576239765,3.0911334838883393,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,24.6,0,20.4,20070601,0,2007,6,1,,0,2.5488943610289927,5.731402761432657,3.182508400403664,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.7,22.8,0,27.1,20060411,0,2006,4,11,,0,5.146973673156334,6.724357595765284,1.5773839226089494,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.5,24.6,0,25.7,20120409,0,2012,4,9,,,2.4609262562067493,5.391230142055369,2.93030388584862,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29.6,19.7,0,20.8,20070728,0,2007,7,28,,,4.777077355505774,6.681157385348268,1.9040800298424934,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.1,25.7,0,22.5,20130503,1,2013,5,3,,,7.073115874917768,7.704353481136886,0.6312376062191181,Saltwater Crocodile,20130503,Trap,Hope Inlet,7135,-12.384554,Howard River,131.046759,100 scute fused ,C. porosus,M,9725,0,18,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0
34,23.5,0,24.4,20180926,3,2018,9,26,,0,2.0884562400299522,4.93333602867515,2.8448797886451977,Saltwater Crocodile,20180926,Trap,West Arm,21195,-12.56574,West B,130.75983,"10/10 scute missing
Barnacles",C. porosus,M,9725,0,54,no,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335,0,0,0,0,0,0,275,0,0
33.4,25.5,0,23.2,20160325,0,2016,3,25,,0,2.2724609683674917,5.233328685970545,2.960867717603053,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30.6,19,0,20.9,20190717,0,2019,7,17,,0,4.035167675674954,6.234347667461472,2.1991799917865182,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36.1,26.4,0,28.4,20191123,0,2019,11,23,,,7.120840393522572,7.523837770213754,0.4029973766911823,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.4,29.1,0,15.3,20181221,0,2018,12,21,,0,4.665624056674618,6.560228154802168,1.8946040981275503,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.6,21.1,0,23.9,20070913,0,2007,9,13,,0,2.5704164900505653,5.072444766934883,2.5020282768843174,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.2,27.2,0,25.8,20140301,0,2014,3,1,,0,4.708133052111136,6.590239553751545,1.8821065016404086,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.5,22,0,22.6,20070506,0,2007,5,6,,0,3.3510321418570266,5.817510385121391,2.4664782432643646,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,23.8,0,24.4,20131215,0,2013,12,15,,,6.26309747803197,7.334728803915863,1.0716313258838936,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27.3,21.6,28.2,5,20140218,1,2014,2,18,1,78,2.425368577241426,5.32427060588107,2.898902028639644,Saltwater Crocodile,20140218,Trap,Hope Inlet,8656,-12.373801,Kings Creek,131.018415,Scutes already cut,C. porosus,M,9725,0,17,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.8,20.6,0,19.6,20090629,0,2009,6,29,,,6.063951469156381,6.912749358550533,0.8487978893941528,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.5,14.4,0,21,20110602,1,2011,6,2,,,2.6844972888887115,5.764138793164629,3.0796415042759175,Saltwater Crocodile,20110602,Trap,Elizabeth River downstream,3738,-12.55596,Elizabeth River,130.99518,,C. porosus,M,9725,0,37,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0
31.6,17.7,0,21.7,20140722,0,2014,7,22,,,7.24663613844411,7.667840064376103,0.4212039259319931,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.8,19.5,0,20.2,20170623,0,2017,6,23,,0,4.65908044350312,6.568202809990291,1.9091223664871713,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.8,25.3,0,27.1,20090322,0,2009,3,22,,,6.263154781340015,7.282045534299426,1.0188907529594111,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.4,27,8.2,21.2,20110302,1,2011,3,2,,,6.516141933518593,7.538209970020538,1.0220680365019446,Saltwater Crocodile,20110302,Trap,Hope Inlet,3605,-12.3479,Little Howard River,131.05011,blv,C. porosus,M,9725,0,36,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,0,0,0,0,0,0,0,0
32.1,19.6,0,20.9,20080525,0,2008,5,25,,,4.3605241250547,6.132267615063619,1.7717434900089195,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.4,25.9,0,20.8,20150120,0,2015,1,20,1,8,3.946789150423897,6.476483225035998,2.5296940746121006,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.4,24.3,0,21.7,20130429,0,2013,4,29,,,2.743977414198537,5.679145046023653,2.9351676318251165,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.5,26.7,0,15.7,20140309,0,2014,3,9,,,6.521369622531689,7.619866212886334,1.098496590354645,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,24.5,0,23.7,20160924,0,2016,9,24,,0,6.468186685891942,7.503055654154324,1.034868968262383,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.2,23.8,0,19.6,20070927,0,2007,9,27,,0,3.6513020336825575,5.611144133255515,1.959842099572958,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.4,21.4,0,20.2,20180626,2,2018,6,26,,0,5.454387052921657,7.00620300834429,1.5518159554226325,Saltwater Crocodile,20180626,Destroyed,Berry Creek,21578,-12.697337,Upstream Berry 2,130.993992,Shot near trap 2 Berry Creek ,C. porosus,M,9725,0,47,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,100
31.2,24.6,21,13.8,20110315,0,2011,3,15,1,7.6,6.0853844815891485,7.337022322990747,1.2516378414015983,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.6,26.8,0,28.1,20101113,1,2010,11,13,,0,6.27572521144547,7.151831374505569,0.8761061630600997,Saltwater Crocodile,20101113,Trap,Berry Creek,3451,-12.688632,Berry Springs2,130.985167,"Escapee, NO CHARGE",C. porosus,M,9725,0,7,no,0,0,0,0,0,0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34.5,22.2,0,28.5,20090319,0,2009,3,19,,,6.237821808256867,7.407929915531276,1.1701081072744088,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32.6,24.6,0,16.2,20190503,2,2019,5,3,,0,4.093365685091367,6.237225697368949,2.143860012277582,Saltwater Crocodile,20190503,Trap,Hope Inlet,22675,-12.324761,Near Tree Point,131.044948,,C. porosus,F,9725,0,19,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,230,0,0,0,0,0,0,0,0,0,0,0
33.5,25.5,0,23.6,20111231,0,2011,12,31,,,5.670173213003984,6.857491705158594,1.1873184921546094,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35.1,24.6,18.6,23.6,20091028,0,2009,10,28,,,6.745144375501587,7.32151095896721,0.5763665834656226,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33.7,22.8,0,26,20130412,1,2013,4,12,,,2.6404186339044857,5.527699165886908,2.887280531982422,Saltwater Crocodile,20130412,Trap,Darwin,6998,-12.443089,Sadgroves Creek,130.865536,only to the 6000 on tail,C. porosus,M,9725,0,14,no,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,22.6,0,20.2,20200615,1,2020,6,15,,,6.433413261212074,7.099705688072489,0.6662924268604153,Saltwater Crocodile,20200615,Trap,East Arm,24842,-12.465731,Bleesers Creek,130.904771,,C. porosus,M,9725,0,13,no,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28.1,23.9,14.2,2.9,20131226,0,2013,12,26,,,6.090505828418811,7.2022941115306445,1.1117882831118333,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
