DATE_READING,YEAR,MONTH,DAY,ELNINO,LANINA,DATE_CAPTURED,AREA_NUMBER,AREA_NAME,GROUP_NAME,1_NO_OF_CAPTURE,2_NO_OF_CAPTURE,3_NO_OF_CAPTURE,4_NO_OF_CAPTURE,TOTAL_CAPTURE,SCIENTIFIC_NAME
20130429,2013,4,29,0,0,,,,,0,0,0,0,0,
20140309,2014,3,9,0,0,,,,,0,0,0,0,0,
20160924,2016,9,24,0,0,,,,,0,0,0,0,0,
20070927,2007,9,27,0,1,,,,,0,0,0,0,0,
20180626,2018,6,26,0,0,20180626,1,South Group,Berry Creek,2,0,0,0,2,C. porosus
20110315,2011,3,15,0,1,,,,,0,0,0,0,0,
20101113,2010,11,13,0,1,20101113,1,South Group,Berry Creek,1,0,0,0,1,C. porosus
20090319,2009,3,19,0,0,,,,,0,0,0,0,0,
20190503,2019,5,3,0,0,20190503,3,Northeast Group,Hope Inlet,0,0,2,0,2,C. porosus
20111231,2011,12,31,0,1,,,,,0,0,0,0,0,
20091028,2009,10,28,0,0,,,,,0,0,0,0,0,
20130412,2013,4,12,0,0,20130412,2,Urban Group,Darwin,0,1,0,0,1,C. porosus
20200615,2020,6,15,0,0,20200615,2,Urban Group,East Arm,0,1,0,0,1,C. porosus
20131226,2013,12,26,0,0,,,,,0,0,0,0,0,
20171224,2017,12,24,0,1,20171224,2,Urban Group,Elizabeth River downstream,0,1,0,0,1,C. porosus
20170829,2017,8,29,0,0,,,,,0,0,0,0,0,
20070531,2007,5,31,0,0,,,,,0,0,0,0,0,
20140711,2014,7,11,0,0,20140711,3,Northeast Group,Hope Inlet,0,0,1,0,1,C. porosus
20130504,2013,5,4,0,0,,,,,0,0,0,0,0,
20090311,2009,3,11,0,0,,,,,0,0,0,0,0,
20130923,2013,9,23,0,0,,,,,0,0,0,0,0,
20120716,2012,7,16,0,0,,,,,0,0,0,0,0,
20150916,2015,9,16,1,0,,,,,0,0,0,0,0,
20100509,2010,5,9,0,0,,,,,0,0,0,0,0,
20151028,2015,10,28,1,0,,,,,0,0,0,0,0,
20191210,2019,12,10,0,0,,,,,0,0,0,0,0,
20181207,2018,12,7,0,0,,,,,0,0,0,0,0,
20100410,2010,4,10,0,0,,,,,0,0,0,0,0,
20120515,2012,5,15,0,0,,,,,0,0,0,0,0,
20130116,2013,1,16,0,0,,,,,0,0,0,0,0,
20070406,2007,4,6,0,0,,,,,0,0,0,0,0,
20110101,2011,1,1,0,1,,,,,0,0,0,0,0,
20090321,2009,3,21,0,0,,,,,0,0,0,0,0,
20160625,2016,6,25,0,0,,,,,0,0,0,0,0,
20170104,2017,1,4,0,0,,,,,0,0,0,0,0,
20190205,2019,2,5,0,0,,,,,0,0,0,0,0,
20190925,2019,9,25,0,0,,,,,0,0,0,0,0,
20200122,2020,1,22,0,0,,,,,0,0,0,0,0,
20200322,2020,3,22,0,0,,,,,0,0,0,0,0,
20150205,2015,2,5,0,0,20150205,3,Northeast Group,Hope Inlet,1,0,2,0,3,C. porosus
20170510,2017,5,10,0,0,,,,,0,0,0,0,0,
20131028,2013,10,28,0,0,,,,,0,0,0,0,0,
20110109,2011,1,9,0,1,,,,,0,0,0,0,0,
20160824,2016,8,24,0,0,,,,,0,0,0,0,0,
20091007,2009,10,7,0,0,,,,,0,0,0,0,0,
20070630,2007,6,30,0,0,,,,,0,0,0,0,0,
20170416,2017,4,16,0,0,,,,,0,0,0,0,0,
20111105,2011,11,5,0,1,,,,,0,0,0,0,0,
20190530,2019,5,30,0,0,20190530,3,Northeast Group,Northern Suburb,0,0,2,0,2,C. porosus
20110511,2011,5,11,0,0,,,,,0,0,0,0,0,
20120508,2012,5,8,0,0,,,,,0,0,0,0,0,
20130905,2013,9,5,0,0,,,,,0,0,0,0,0,
20090912,2009,9,12,0,0,,,,,0,0,0,0,0,
20131116,2013,11,16,0,0,,,,,0,0,0,0,0,
20150930,2015,9,30,1,0,,,,,0,0,0,0,0,
20190422,2019,4,22,0,0,,,,,0,0,0,0,0,
20191011,2019,10,11,0,0,,,,,0,0,0,0,0,
20170211,2017,2,11,0,0,,,,,0,0,0,0,0,
20090723,2009,7,23,0,0,20090723,3,Northeast Group,Hope Inlet,0,0,2,0,2,C. porosus
20081006,2008,10,6,0,0,,,,,0,0,0,0,0,
20190111,2019,1,11,0,0,,,,,0,0,0,0,0,
20200310,2020,3,10,0,0,,,,,0,0,0,0,0,
20191201,2019,12,1,0,0,,,,,0,0,0,0,0,
20080728,2008,7,28,0,0,,,,,0,0,0,0,0,
20061030,2006,10,30,1,0,,,,,0,0,0,0,0,
20180518,2018,5,18,0,0,20180518,3,Northeast Group,Hope Inlet,0,0,1,0,1,C. porosus
20200402,2020,4,2,0,0,,,,,0,0,0,0,0,
20200318,2020,3,18,0,0,20200318,3,Northeast Group,Northern Suburb,0,0,2,1,3,C. porosus
20161126,2016,11,26,0,0,,,,,0,0,0,0,0,
20180507,2018,5,7,0,0,,,,,0,0,0,0,0,
20100325,2010,3,25,1,0,20100325,4,West Group,Woods Inlet,0,1,0,1,2,C. porosus
20080606,2008,6,6,0,0,,,,,0,0,0,0,0,
20110923,2011,9,23,0,0,,,,,0,0,0,0,0,
20120607,2012,6,7,0,0,,,,,0,0,0,0,0,
20070206,2007,2,6,0,0,,,,,0,0,0,0,0,
20121023,2012,10,23,0,0,,,,,0,0,0,0,0,
20161004,2016,10,4,0,0,,,,,0,0,0,0,0,
20180704,2018,7,4,0,0,20180704,1,South Group,Pioneer Creek,1,1,0,0,2,C. porosus
20190726,2019,7,26,0,0,20190726,3,Northeast Group,Northern Suburb,0,0,1,0,1,C. porosus
20091130,2009,11,30,1,0,,,,,0,0,0,0,0,
20200712,2020,7,12,0,0,,,,,0,0,0,0,0,
20141208,2014,12,8,0,0,,,,,0,0,0,0,0,
20170501,2017,5,1,0,0,,,,,0,0,0,0,0,
20171207,2017,12,7,0,1,20171207,1,South Group,Middle Arm,1,0,0,0,1,C. porosus
20070708,2007,7,8,0,0,,,,,0,0,0,0,0,
20180221,2018,2,21,0,1,20180221,2,Urban Group,Elizabeth River downstream,1,1,0,0,2,C. porosus
20190618,2019,6,18,0,0,,,,,0,0,0,0,0,
20191112,2019,11,12,0,0,,,,,0,0,0,0,0,
20130226,2013,2,26,0,0,,,,,0,0,0,0,0,
20140927,2014,9,27,0,0,,,,,0,0,0,0,0,
20150808,2015,8,8,1,0,,,,,0,0,0,0,0,
20170216,2017,2,16,0,0,20170216,2,Urban Group,Darwin,0,2,0,1,3,C. porosus
20060928,2006,9,28,0,0,20060928,1,South Group,Middle Arm,1,0,0,1,2,C. porosus
20100810,2010,8,10,0,1,,,,,0,0,0,0,0,
20160713,2016,7,13,0,0,,,,,0,0,0,0,0,
20180805,2018,8,5,0,0,,,,,0,0,0,0,0,
20170222,2017,2,22,0,0,20170222,1,South Group,Berry Creek,1,1,0,1,3,C. porosus
20080729,2008,7,29,0,0,,,,,0,0,0,0,0,
20120327,2012,3,27,0,0,,,,,0,0,0,0,0,
20120806,2012,8,6,0,0,,,,,0,0,0,0,0,
20180409,2018,4,9,0,0,,,,,0,0,0,0,0,
20090417,2009,4,17,0,0,20090417,3,Northeast Group,Hope Inlet,2,0,6,0,8,C. porosus
20110525,2011,5,25,0,0,20110525,1,South Group,Berry Creek,1,0,0,0,1,C. porosus
20061214,2006,12,14,1,0,,,,,0,0,0,0,0,
20200721,2020,7,21,0,0,,,,,0,0,0,0,0,
20081126,2008,11,26,0,0,20081126,1,South Group,Southport,4,0,0,0,4,C. porosus
20200117,2020,1,17,0,0,20200117,2,Urban Group,East Arm,0,1,0,0,1,C. porosus
20160927,2016,9,27,0,0,20160927,4,West Group,Woods Inlet,0,0,0,2,2,C. porosus
20070922,2007,9,22,0,1,,,,,0,0,0,0,0,
20180623,2018,6,23,0,0,,,,,0,0,0,0,0,
20141217,2014,12,17,0,0,,,,,0,0,0,0,0,
20141009,2014,10,9,0,0,20141009,1,South Group,Southport,2,0,0,0,2,C. porosus
20120114,2012,1,14,0,1,,,,,0,0,0,0,0,
20130702,2013,7,2,0,0,,,,,0,0,0,0,0,
20100303,2010,3,3,1,0,,,,,0,0,0,0,0,
20160815,2016,8,15,0,0,,,,,0,0,0,0,0,
20171204,2017,12,4,0,1,,,,,0,0,0,0,0,
20190715,2019,7,15,0,0,,,,,0,0,0,0,0,
20171221,2017,12,21,0,1,20171221,3,Northeast Group,Hope Inlet,0,0,1,0,1,C. porosus
20150416,2015,4,16,0,0,20150416,4,West Group,West Arm,2,0,0,1,3,C. porosus
20120713,2012,7,13,0,0,,,,,0,0,0,0,0,
20130501,2013,5,1,0,0,20130501,2,Urban Group,East Arm,0,1,0,0,1,C. porosus
20100504,2010,5,4,0,0,,,,,0,0,0,0,0,
20180815,2018,8,15,0,0,20180815,1,South Group,Berry Creek,1,0,0,0,1,C. porosus
20131107,2013,11,7,0,0,20131107,4,West Group,Woods Inlet,2,0,0,1,3,C. porosus
20151008,2015,10,8,1,0,20151008,4,West Group,West Arm,0,0,0,1,1,C. porosus
20151110,2015,11,10,1,0,20151110,2,Urban Group,Palmerston,0,1,0,0,1,C. porosus
20120813,2012,8,13,0,0,,,,,0,0,0,0,0,
20150602,2015,6,2,1,0,,,,,0,0,0,0,0,
20070911,2007,9,11,0,1,,,,,0,0,0,0,0,
20080505,2008,5,5,0,0,,,,,0,0,0,0,0,
20110630,2011,6,30,0,0,,,,,0,0,0,0,0,
20160528,2016,5,28,0,0,,,,,0,0,0,0,0,
20081111,2008,11,11,0,0,,,,,0,0,0,0,0,
20130130,2013,1,30,0,0,,,,,0,0,0,0,0,
20120326,2012,3,26,0,0,20120326,2,Urban Group,Elizabeth River downstream,0,1,0,0,1,C. porosus
20160603,2016,6,3,0,0,,,,,0,0,0,0,0,
20181223,2018,12,23,0,0,,,,,0,0,0,0,0,
20100112,2010,1,12,1,0,,,,,0,0,0,0,0,
20151205,2015,12,5,1,0,,,,,0,0,0,0,0,
20170113,2017,1,13,0,0,20170113,3,Northeast Group,Hope Inlet,0,0,1,0,1,C. porosus
20150924,2015,9,24,1,0,20150924,4,West Group,Woods Inlet,0,0,0,1,1,C. porosus
20170429,2017,4,29,0,0,,,,,0,0,0,0,0,
20100710,2010,7,10,0,1,,,,,0,0,0,0,0,
20170530,2017,5,30,0,0,,,,,0,0,0,0,0,
20200820,2020,8,20,0,0,,,,,0,0,0,0,0,
20061222,2006,12,22,1,0,20061222,1,South Group,Pioneer Creek,1,0,2,0,3,C. porosus
20140731,2014,7,31,0,0,20140731,1,South Group,Southport,1,0,0,0,1,C. porosus
20120616,2012,6,16,0,0,,,,,0,0,0,0,0,
20121127,2012,11,27,0,0,,,,,0,0,0,0,0,
20140802,2014,8,2,0,0,,,,,0,0,0,0,0,
20200617,2020,6,17,0,0,20200617,4,West Group,Woods Inlet,2,1,0,1,4,C. porosus
20110308,2011,3,8,0,1,,,,,0,0,0,0,0,
20180110,2018,1,10,0,1,20180110,2,Urban Group,East Arm,0,1,1,0,2,C. porosus
20101002,2010,10,2,0,1,,,,,0,0,0,0,0,
20180605,2018,6,5,0,0,,,,,0,0,0,0,0,
20120528,2012,5,28,0,0,,,,,0,0,0,0,0,
20191014,2019,10,14,0,0,,,,,0,0,0,0,0,
20120710,2012,7,10,0,0,,,,,0,0,0,0,0,
20180312,2018,3,12,0,0,,,,,0,0,0,0,0,
20090917,2009,9,17,0,0,,,,,0,0,0,0,0,
20090505,2009,5,5,0,0,,,,,0,0,0,0,0,
20170927,2017,9,27,0,0,20170927,4,West Group,West Arm,0,1,0,1,2,C. porosus
20141123,2014,11,23,0,0,,,,,0,0,0,0,0,
20120812,2012,8,12,0,0,,,,,0,0,0,0,0,
20071229,2007,12,29,0,1,,,,,0,0,0,0,0,
20191216,2019,12,16,0,0,20191216,2,Urban Group,Darwin,0,1,0,0,1,C. porosus
20151102,2015,11,2,1,0,,,,,0,0,0,0,0,
20130419,2013,4,19,0,0,20130419,1,South Group,Berry Creek,1,0,0,0,1,C. porosus
20110401,2011,4,1,0,0,20110401,2,Urban Group,Palmerston,0,1,0,0,1,C. porosus
20160526,2016,5,26,0,0,,,,,0,0,0,0,0,
20131005,2013,10,5,0,0,,,,,0,0,0,0,0,
20181007,2018,10,7,0,0,,,,,0,0,0,0,0,
20160726,2016,7,26,0,0,,,,,0,0,0,0,0,
20151030,2015,10,30,1,0,20151030,3,Northeast Group,Hope Inlet,0,0,3,0,3,C. porosus
20190905,2019,9,5,0,0,20190905,1,South Group,Middle Arm,1,0,0,0,1,C. porosus
20090628,2009,6,28,0,0,,,,,0,0,0,0,0,
20070404,2007,4,4,0,0,20070404,1,South Group,Pioneer Creek,1,0,0,0,1,C. porosus
20111212,2011,12,12,0,1,,,,,0,0,0,0,0,
20190421,2019,4,21,0,0,,,,,0,0,0,0,0,
20200813,2020,8,13,0,0,,,,,0,0,0,0,0,
20080628,2008,6,28,0,0,,,,,0,0,0,0,0,
20200124,2020,1,24,0,0,20200124,3,Northeast Group,Hope Inlet,0,0,1,0,1,C. porosus
20100731,2010,7,31,0,1,,,,,0,0,0,0,0,
20140410,2014,4,10,0,0,,,,,0,0,0,0,0,
20190121,2019,1,21,0,0,,,,,0,0,0,0,0,
20160403,2016,4,3,0,0,,,,,0,0,0,0,0,
20200320,2020,3,20,0,0,,,,,0,0,0,0,0,
20061223,2006,12,23,1,0,,,,,0,0,0,0,0,
20110118,2011,1,18,0,1,,,,,0,0,0,0,0,
20160826,2016,8,26,0,0,,,,,0,0,0,0,0,
20070119,2007,1,19,1,0,20070119,1,South Group,Pioneer Creek,1,0,0,0,1,C. porosus
20121124,2012,11,24,0,0,,,,,0,0,0,0,0,
20160515,2016,5,15,0,0,,,,,0,0,0,0,0,
20131231,2013,12,31,0,0,20131231,2,Urban Group,Elizabeth River downstream,0,1,0,0,1,C. porosus
20170521,2017,5,21,0,0,,,,,0,0,0,0,0,
20140702,2014,7,2,0,0,,,,,0,0,0,0,0,
20180111,2018,1,11,0,1,20180111,1,South Group,Middle Arm,1,1,0,0,2,C. porosus
20101228,2010,12,28,0,1,,,,,0,0,0,0,0,
20121114,2012,11,14,0,0,,,,,0,0,0,0,0,
20080321,2008,3,21,0,0,,,,,0,0,0,0,0,
20101001,2010,10,1,0,1,20101001,3,Northeast Group,Northern Suburb,0,0,1,0,1,C. porosus
20101024,2010,10,24,0,1,,,,,0,0,0,0,0,
20090302,2009,3,2,0,0,20090302,2,Urban Group,Darwin,0,1,0,0,1,C. porosus
20070523,2007,5,23,0,0,,,,,0,0,0,0,0,
20081016,2008,10,16,0,0,20081016,4,West Group,West Arm,1,1,0,2,4,C. porosus
20151101,2015,11,1,1,0,20151101,2,Urban Group,East Arm,0,1,0,0,1,C. porosus
20160310,2016,3,10,1,0,20160310,1,South Group,Southport,1,0,0,0,1,C. porosus
20130709,2013,7,9,0,0,,,,,0,0,0,0,0,
20161107,2016,11,7,0,0,,,,,0,0,0,0,0,
20080128,2008,1,28,0,1,,,,,0,0,0,0,0,
20071228,2007,12,28,0,1,,,,,0,0,0,0,0,
20060925,2006,9,25,0,0,,,,,0,0,0,0,0,
20090812,2009,8,12,0,0,,,,,0,0,0,0,0,
20100813,2010,8,13,0,1,20100813,3,Northeast Group,Hope Inlet,0,0,1,0,1,C. porosus
20170204,2017,2,4,0,0,,,,,0,0,0,0,0,
20171031,2017,10,31,0,0,,,,,0,0,0,0,0,
20180806,2018,8,6,0,0,,,,,0,0,0,0,0,
20191005,2019,10,5,0,0,,,,,0,0,0,0,0,
20191013,2019,10,13,0,0,,,,,0,0,0,0,0,
20191207,2019,12,7,0,0,,,,,0,0,0,0,0,
20180930,2018,9,30,0,0,20180930,1,South Group,Berry Creek,1,0,0,0,1,C. porosus
20061015,2006,10,15,1,0,,,,,0,0,0,0,0,
20120228,2012,2,28,0,1,,,,,0,0,0,0,0,
20170713,2017,7,13,0,0,20170713,1,South Group,Blackmore River,1,0,0,0,1,C. porosus
20181231,2018,12,31,0,0,,,,,0,0,0,0,0,
20080908,2008,9,8,0,0,,,,,0,0,0,0,0,
20110201,2011,2,1,0,1,,,,,0,0,0,0,0,
20081229,2008,12,29,0,1,,,,,0,0,0,0,0,
20110921,2011,9,21,0,0,20110921,1,South Group,Southport,1,0,0,0,1,C. porosus
20141214,2014,12,14,0,0,,,,,0,0,0,0,0,
20091227,2009,12,27,1,0,,,,,0,0,0,0,0,
20161002,2016,10,2,0,0,,,,,0,0,0,0,0,
20081025,2008,10,25,0,0,,,,,0,0,0,0,0,
20070318,2007,3,18,0,0,,,,,0,0,0,0,0,
20100306,2010,3,6,1,0,,,,,0,0,0,0,0,
20160305,2016,3,5,1,0,,,,,0,0,0,0,0,
20170507,2017,5,7,0,0,,,,,0,0,0,0,0,
20190211,2019,2,11,0,0,,,,,0,0,0,0,0,
20150428,2015,4,28,0,0,,,,,0,0,0,0,0,
20140416,2014,4,16,0,0,20140416,4,West Group,Woods Inlet,0,0,0,1,1,C. porosus
20080307,2008,3,7,0,0,,,,,0,0,0,0,0,
20140905,2014,9,5,0,0,,,,,0,0,0,0,0,
20120426,2012,4,26,0,0,20120426,2,Urban Group,Palmerston,0,2,3,1,6,C. porosus
20190616,2019,6,16,0,0,,,,,0,0,0,0,0,
20081015,2008,10,15,0,0,,,,,0,0,0,0,0,
20070522,2007,5,22,0,0,,,,,0,0,0,0,0,
20120626,2012,6,26,0,0,,,,,0,0,0,0,0,
20130201,2013,2,1,0,0,20130201,1,South Group,Berry Creek,1,0,0,0,1,C. porosus
20140617,2014,6,17,0,0,,,,,0,0,0,0,0,
20060903,2006,9,3,0,0,,,,,0,0,0,0,0,
20191002,2019,10,2,0,0,20191002,3,Northeast Group,Hope Inlet,0,0,2,0,2,C. porosus
20091123,2009,11,23,1,0,,,,,0,0,0,0,0,
20101103,2010,11,3,0,1,,,,,0,0,0,0,0,
20120325,2012,3,25,0,0,,,,,0,0,0,0,0,
20170807,2017,8,7,0,0,,,,,0,0,0,0,0,
20180228,2018,2,28,0,1,,,,,0,0,0,0,0,
20090411,2009,4,11,0,0,,,,,0,0,0,0,0,
20110523,2011,5,23,0,0,,,,,0,0,0,0,0,
20071107,2007,11,7,0,1,,,,,0,0,0,0,0,
20080809,2008,8,9,0,0,,,,,0,0,0,0,0,
20151202,2015,12,2,1,0,20151202,4,West Group,Woods Inlet,0,0,0,1,1,C. porosus
20150904,2015,9,4,1,0,20150904,3,Northeast Group,Northern Suburb,0,0,3,0,3,C. porosus
20061216,2006,12,16,1,0,,,,,0,0,0,0,0,
20180820,2018,8,20,0,0,,,,,0,0,0,0,0,
20110220,2011,2,20,0,1,,,,,0,0,0,0,0,
20141017,2014,10,17,0,0,,,,,0,0,0,0,0,
20161207,2016,12,7,0,0,,,,,0,0,0,0,0,
20171124,2017,11,24,0,0,20171124,3,Northeast Group,Hope Inlet,0,0,2,0,2,C. porosus
20170702,2017,7,2,0,0,,,,,0,0,0,0,0,
20150331,2015,3,31,0,0,,,,,0,0,0,0,0,
20100301,2010,3,1,1,0,,,,,0,0,0,0,0,
20160813,2016,8,13,0,0,,,,,0,0,0,0,0,
20140620,2014,6,20,0,0,20140620,3,Northeast Group,Hope Inlet,0,0,1,0,1,C. porosus
20090331,2009,3,31,0,0,,,,,0,0,0,0,0,
20111116,2011,11,16,0,1,20111116,2,Urban Group,Palmerston,0,1,1,0,2,C. porosus
20171206,2017,12,6,0,1,,,,,0,0,0,0,0,
20151019,2015,10,19,1,0,,,,,0,0,0,0,0,
20150418,2015,4,18,0,0,,,,,0,0,0,0,0,
20200427,2020,4,27,0,0,20200427,1,South Group,Berry Creek,2,0,0,0,2,C. porosus
20170920,2017,9,20,0,0,20170920,1,South Group,Pioneer Creek,2,1,0,1,4,C. porosus
20071209,2007,12,9,0,1,,,,,0,0,0,0,0,
20120627,2012,6,27,0,0,,,,,0,0,0,0,0,
20120811,2012,8,11,0,0,,,,,0,0,0,0,0,
20131105,2013,11,5,0,0,,,,,0,0,0,0,0,
20111223,2011,12,23,0,1,20111223,3,Northeast Group,Hope Inlet,0,1,2,0,3,C. porosus
20081113,2008,11,13,0,0,,,,,0,0,0,0,0,
20190228,2019,2,28,0,0,20190228,1,South Group,Southport,2,0,0,0,2,C. porosus
20070622,2007,6,22,0,0,,,,,0,0,0,0,0,
20170809,2017,8,9,0,0,20170809,4,West Group,West Arm,0,1,0,2,3,C. porosus
20120903,2012,9,3,0,0,,,,,0,0,0,0,0,
20111006,2011,10,6,0,1,,,,,0,0,0,0,0,
20190522,2019,5,22,0,0,20190522,4,West Group,Woods Inlet,0,0,0,1,1,C. porosus
20120911,2012,9,11,0,0,,,,,0,0,0,0,0,
20140914,2014,9,14,0,0,,,,,0,0,0,0,0,
20151227,2015,12,27,1,0,,,,,0,0,0,0,0,
20160130,2016,1,30,1,0,,,,,0,0,0,0,0,
20160605,2016,6,5,0,0,,,,,0,0,0,0,0,
20150922,2015,9,22,1,0,,,,,0,0,0,0,0,
20170806,2017,8,6,0,0,,,,,0,0,0,0,0,
20200214,2020,2,14,0,0,,,,,0,0,0,0,0,
20150905,2015,9,5,1,0,,,,,0,0,0,0,0,
20161221,2016,12,21,0,0,,,,,0,0,0,0,0,
20061220,2006,12,20,1,0,,,,,0,0,0,0,0,
20141229,2014,12,29,0,0,20141229,2,Urban Group,Elizabeth River downstream,0,1,0,0,1,C. porosus
20130103,2013,1,3,0,0,,,,,0,0,0,0,0,
20140504,2014,5,4,0,0,,,,,0,0,0,0,0,
20121129,2012,11,29,0,0,20121129,1,South Group,Blackmore River,2,0,0,1,3,C. porosus
20090104,2009,1,4,1,0,,,,,0,0,0,0,0,
20080827,2008,8,27,0,0,,,,,0,0,0,0,0,
20131211,2013,12,11,0,0,,,,,0,0,0,0,0,
20140701,2014,7,1,0,0,,,,,0,0,0,0,0,
20170406,2017,4,6,0,0,20170406,1,South Group,Pioneer Creek,1,0,0,1,2,C. porosus
20150320,2015,3,20,0,0,20150320,3,Northeast Group,Hope Inlet,0,0,1,0,1,C. porosus
20090301,2009,3,1,0,0,,,,,0,0,0,0,0,
20180112,2018,1,12,0,1,,,,,0,0,0,0,0,
20171122,2017,11,22,0,0,20171122,4,West Group,West Arm,0,1,0,1,2,C. porosus
20161104,2016,11,4,0,0,20161104,4,West Group,West Arm,0,0,0,1,1,C. porosus
20190930,2019,9,30,0,0,,,,,0,0,0,0,0,
20121017,2012,10,17,0,0,20121017,2,Urban Group,East Arm,0,1,0,0,1,C. porosus
20150213,2015,2,13,0,0,,,,,0,0,0,0,0,
20090507,2009,5,7,0,0,,,,,0,0,0,0,0,
20070902,2007,9,2,0,1,,,,,0,0,0,0,0,
20191221,2019,12,21,0,0,,,,,0,0,0,0,0,
